BR,RT,DAY,STOP,NEW BR,NEW RT,NEW DAY,NEW STOP,CUST,CUST NAME,HOUSE NUMBER,ADDRESS,CITY,ZIP,EST DATE,BIG 5 AVG,COMP AVG
BR,,,,RQ,RQ,RQ,RQ,(RQ:,FILL ONLY FOR REROUTED CUSTOMERS),-- REMOVE THIS COLUMN BEFORE UPLOAD --,-- DO NOT REMOVE THIS ROW --,,,,,
650,1,1,1,650,1,1,1,8912,AUTO CHLOR,8912 A,YELLOW BRICK RD,ROSEDALE,21237,06/16/2013,$0.00,$0.00
650,01,01B,01,650,02,05B,1,6501024,COAL FIRE PIZZA HUNT VALLEY,112,SHAWAN ROAD,COCKEYSVILLE,21030,06/17/2013,$745.42,$373.58
650,01,01B,02,650,02,05B,4,65050465,GREEN LEAF RESTAURANT,11313,YORK ROAD,COCKEYSVILLE,21030,11/02/2004,$312.51,$0.00
650,01,01B,03,650,02,05B,5,650982,FUSION,10752,YORK ROAD,COCKEYSVILLE,21030-2121,03/12/2013,$279.69,$0.00
650,01,01B,04,650,02,05B,7,650437,VITO'S RESTAURANT,10249,YORK ROAD,COCKEYSVILLE,21030,08/27/2007,$526.76,$136.70
650,01,01B,05,650,02,06B,1,6501054,LA TOLTECA COCKEYSVILLE,10010,YORK ROAD,COCKEYSVILLE,21030-3304,09/16/2013,$274.96,$0.00
650,01,01B,06,650,02,05B,2,226500031,MISSION BBQ - HUNT VALLEY,128,"SHAWAN ROAD, STE 103",HUNT VALLEY,21030,12/19/2022,$623.55,$98.45
650,01,01B,07,650,02,05B,3,226500027,IZAKAYA 68,100,SHAWAN ROAD,HUNT VALLEY,21030,09/05/2022,$338.11,$0.00
650,01,02B,01,650,03,03B,2,65092638,DING HOW TIMONIUM,12237,TULLAMORE ROAD,TIMONIUM,21093-7816,04/08/1997,$165.00,$0.00
650,01,02B,02,650,03,03B,3,166500234,LIBERATORE'S RISTORANTE & CATERING TIMONIUM ,9515,DEERECO ROAD,TIMONIUM,21093-2116,09/20/2016,$644.11,$0.00
650,01,02B,03,650,02,06B,2,156500107,ROYAL KITCHEN,9832,YORK ROAD,COCKEYSVILLE,21030-4914,03/26/2015,$118.33,$0.00
650,01,02B,04,650,02,12B,2,6501012,NEW LIFE HEALTHY LIVING,7600,CLAYS LANE,WINDSOR MILL ,21244-2003,05/31/2013,$0.00,$0.00
